	X	Y	X2	y2	X*Y	
	food	rating	food2	rating2		
	85	78	7225	6084	6630	
	80	85	6400	7225	6800	
	83	85	6889	7225	7055	
	70	72	4900	5184	5040	
	68	75	4624	5625	5100	
	65	54	4225	2916	3510	
	64	62	4096	3844	3968	
	72	73	5184	5329	5256	
	69	70	4761	4900	4830	
	75	77	5625	5929	5775	
	75	74	5625	5476	5550	
	72	76	5184	5776	5472	
	81	80	6561	6400	6480	
	71	71	5041	5041	5041	
	67	64	4489	4096	4288	
Sum	1097	1096	80829	81050	80795	
						
n 	15					
b0	-4.822845114					
b1	1.065034345					
						
Result						
						
						
						
						
						
						
						
						
						
						
						
						
